mu_polymer	gamma_coefficient	alpha_scaling	volume_eigenvalue_cutoff	target_scale_m	rho_pred_j_m3	rho_obs_j_m3	ratio_pred_to_obs	log10_ratio
0.05	0.3	0.05	5.0	1e-15	3.26092614118458417e+142	5.28313811725251248e-10	6.17232801568402570e+151	1.51790448997691868e+02
0.05	0.3	0.05	10.0	1e-15	3.26092614118458417e+142	5.28313811725251248e-10	6.17232801568402570e+151	1.51790448997691868e+02
0.05	0.3	0.05	20.0	1e-15	3.26092614118458417e+142	5.28313811725251248e-10	6.17232801568402570e+151	1.51790448997691868e+02
0.05	0.3	0.1	5.0	1e-15	3.26092614118458417e+142	5.28313811725251248e-10	6.17232801568402570e+151	1.51790448997691868e+02
0.05	0.3	0.1	10.0	1e-15	3.26092614118458417e+142	5.28313811725251248e-10	6.17232801568402570e+151	1.51790448997691868e+02
0.05	0.3	0.1	20.0	1e-15	3.26092614118458417e+142	5.28313811725251248e-10	6.17232801568402570e+151	1.51790448997691868e+02
0.05	0.3	0.2	5.0	1e-15	3.26092614118458417e+142	5.28313811725251248e-10	6.17232801568402570e+151	1.51790448997691868e+02
0.05	0.3	0.2	10.0	1e-15	3.26092614118458417e+142	5.28313811725251248e-10	6.17232801568402570e+151	1.51790448997691868e+02
0.05	0.3	0.2	20.0	1e-15	3.26092614118458417e+142	5.28313811725251248e-10	6.17232801568402570e+151	1.51790448997691868e+02
0.05	1.0	0.05	5.0	1e-15	3.26092614118458417e+142	5.28313811725251248e-10	6.17232801568402570e+151	1.51790448997691868e+02
0.05	1.0	0.05	10.0	1e-15	3.26092614118458417e+142	5.28313811725251248e-10	6.17232801568402570e+151	1.51790448997691868e+02
0.05	1.0	0.05	20.0	1e-15	3.26092614118458417e+142	5.28313811725251248e-10	6.17232801568402570e+151	1.51790448997691868e+02
0.05	1.0	0.1	5.0	1e-15	3.26092614118458417e+142	5.28313811725251248e-10	6.17232801568402570e+151	1.51790448997691868e+02
0.05	1.0	0.1	10.0	1e-15	3.26092614118458417e+142	5.28313811725251248e-10	6.17232801568402570e+151	1.51790448997691868e+02
0.05	1.0	0.1	20.0	1e-15	3.26092614118458417e+142	5.28313811725251248e-10	6.17232801568402570e+151	1.51790448997691868e+02
0.05	1.0	0.2	5.0	1e-15	3.26092614118458417e+142	5.28313811725251248e-10	6.17232801568402570e+151	1.51790448997691868e+02
0.05	1.0	0.2	10.0	1e-15	3.26092614118458417e+142	5.28313811725251248e-10	6.17232801568402570e+151	1.51790448997691868e+02
0.05	1.0	0.2	20.0	1e-15	3.26092614118458417e+142	5.28313811725251248e-10	6.17232801568402570e+151	1.51790448997691868e+02
0.05	3.0	0.05	5.0	1e-15	3.26092614118458417e+142	5.28313811725251248e-10	6.17232801568402570e+151	1.51790448997691868e+02
0.05	3.0	0.05	10.0	1e-15	3.26092614118458417e+142	5.28313811725251248e-10	6.17232801568402570e+151	1.51790448997691868e+02
0.05	3.0	0.05	20.0	1e-15	3.26092614118458417e+142	5.28313811725251248e-10	6.17232801568402570e+151	1.51790448997691868e+02
0.05	3.0	0.1	5.0	1e-15	3.26092614118458417e+142	5.28313811725251248e-10	6.17232801568402570e+151	1.51790448997691868e+02
0.05	3.0	0.1	10.0	1e-15	3.26092614118458417e+142	5.28313811725251248e-10	6.17232801568402570e+151	1.51790448997691868e+02
0.05	3.0	0.1	20.0	1e-15	3.26092614118458417e+142	5.28313811725251248e-10	6.17232801568402570e+151	1.51790448997691868e+02
0.05	3.0	0.2	5.0	1e-15	3.26092614118458417e+142	5.28313811725251248e-10	6.17232801568402570e+151	1.51790448997691868e+02
0.05	3.0	0.2	10.0	1e-15	3.26092614118458417e+142	5.28313811725251248e-10	6.17232801568402570e+151	1.51790448997691868e+02
0.05	3.0	0.2	20.0	1e-15	3.26092614118458417e+142	5.28313811725251248e-10	6.17232801568402570e+151	1.51790448997691868e+02
0.1	0.3	0.05	5.0	1e-15	9.55384311946343979e+141	5.28313811725251248e-10	1.80836520027076273e+151	1.51257286140987901e+02
0.1	0.3	0.05	10.0	1e-15	9.55384311946343979e+141	5.28313811725251248e-10	1.80836520027076273e+151	1.51257286140987901e+02
0.1	0.3	0.05	20.0	1e-15	9.55384311946343979e+141	5.28313811725251248e-10	1.80836520027076273e+151	1.51257286140987901e+02
0.1	0.3	0.1	5.0	1e-15	9.55384311946343979e+141	5.28313811725251248e-10	1.80836520027076273e+151	1.51257286140987901e+02
0.1	0.3	0.1	10.0	1e-15	9.55384311946343979e+141	5.28313811725251248e-10	1.80836520027076273e+151	1.51257286140987901e+02
0.1	0.3	0.1	20.0	1e-15	9.55384311946343979e+141	5.28313811725251248e-10	1.80836520027076273e+151	1.51257286140987901e+02
0.1	0.3	0.2	5.0	1e-15	9.55384311946343979e+141	5.28313811725251248e-10	1.80836520027076273e+151	1.51257286140987901e+02
0.1	0.3	0.2	10.0	1e-15	9.55384311946343979e+141	5.28313811725251248e-10	1.80836520027076273e+151	1.51257286140987901e+02
0.1	0.3	0.2	20.0	1e-15	9.55384311946343979e+141	5.28313811725251248e-10	1.80836520027076273e+151	1.51257286140987901e+02
0.1	1.0	0.05	5.0	1e-15	9.55384311946343979e+141	5.28313811725251248e-10	1.80836520027076273e+151	1.51257286140987901e+02
0.1	1.0	0.05	10.0	1e-15	9.55384311946343979e+141	5.28313811725251248e-10	1.80836520027076273e+151	1.51257286140987901e+02
0.1	1.0	0.05	20.0	1e-15	9.55384311946343979e+141	5.28313811725251248e-10	1.80836520027076273e+151	1.51257286140987901e+02
0.1	1.0	0.1	5.0	1e-15	9.55384311946343979e+141	5.28313811725251248e-10	1.80836520027076273e+151	1.51257286140987901e+02
0.1	1.0	0.1	10.0	1e-15	9.55384311946343979e+141	5.28313811725251248e-10	1.80836520027076273e+151	1.51257286140987901e+02
0.1	1.0	0.1	20.0	1e-15	9.55384311946343979e+141	5.28313811725251248e-10	1.80836520027076273e+151	1.51257286140987901e+02
0.1	1.0	0.2	5.0	1e-15	9.55384311946343979e+141	5.28313811725251248e-10	1.80836520027076273e+151	1.51257286140987901e+02
0.1	1.0	0.2	10.0	1e-15	9.55384311946343979e+141	5.28313811725251248e-10	1.80836520027076273e+151	1.51257286140987901e+02
0.1	1.0	0.2	20.0	1e-15	9.55384311946343979e+141	5.28313811725251248e-10	1.80836520027076273e+151	1.51257286140987901e+02
0.1	3.0	0.05	5.0	1e-15	9.55384311946343979e+141	5.28313811725251248e-10	1.80836520027076273e+151	1.51257286140987901e+02
0.1	3.0	0.05	10.0	1e-15	9.55384311946343979e+141	5.28313811725251248e-10	1.80836520027076273e+151	1.51257286140987901e+02
0.1	3.0	0.05	20.0	1e-15	9.55384311946343979e+141	5.28313811725251248e-10	1.80836520027076273e+151	1.51257286140987901e+02
0.1	3.0	0.1	5.0	1e-15	9.55384311946343979e+141	5.28313811725251248e-10	1.80836520027076273e+151	1.51257286140987901e+02
0.1	3.0	0.1	10.0	1e-15	9.55384311946343979e+141	5.28313811725251248e-10	1.80836520027076273e+151	1.51257286140987901e+02
0.1	3.0	0.1	20.0	1e-15	9.55384311946343979e+141	5.28313811725251248e-10	1.80836520027076273e+151	1.51257286140987901e+02
0.1	3.0	0.2	5.0	1e-15	9.55384311946343979e+141	5.28313811725251248e-10	1.80836520027076273e+151	1.51257286140987901e+02
0.1	3.0	0.2	10.0	1e-15	9.55384311946343979e+141	5.28313811725251248e-10	1.80836520027076273e+151	1.51257286140987901e+02
0.1	3.0	0.2	20.0	1e-15	9.55384311946343979e+141	5.28313811725251248e-10	1.80836520027076273e+151	1.51257286140987901e+02
0.15	0.3	0.05	5.0	1e-15	3.13224170675894428e+141	5.28313811725251248e-10	5.92875226284612358e+150	1.50772963303418550e+02
0.15	0.3	0.05	10.0	1e-15	3.13224170675894428e+141	5.28313811725251248e-10	5.92875226284612358e+150	1.50772963303418550e+02
0.15	0.3	0.05	20.0	1e-15	3.13224170675894428e+141	5.28313811725251248e-10	5.92875226284612358e+150	1.50772963303418550e+02
0.15	0.3	0.1	5.0	1e-15	3.13224170675894428e+141	5.28313811725251248e-10	5.92875226284612358e+150	1.50772963303418550e+02
0.15	0.3	0.1	10.0	1e-15	3.13224170675894428e+141	5.28313811725251248e-10	5.92875226284612358e+150	1.50772963303418550e+02
0.15	0.3	0.1	20.0	1e-15	3.13224170675894428e+141	5.28313811725251248e-10	5.92875226284612358e+150	1.50772963303418550e+02
0.15	0.3	0.2	5.0	1e-15	3.13224170675894428e+141	5.28313811725251248e-10	5.92875226284612358e+150	1.50772963303418550e+02
0.15	0.3	0.2	10.0	1e-15	3.13224170675894428e+141	5.28313811725251248e-10	5.92875226284612358e+150	1.50772963303418550e+02
0.15	0.3	0.2	20.0	1e-15	3.13224170675894428e+141	5.28313811725251248e-10	5.92875226284612358e+150	1.50772963303418550e+02
0.15	1.0	0.05	5.0	1e-15	3.13224170675894428e+141	5.28313811725251248e-10	5.92875226284612358e+150	1.50772963303418550e+02
0.15	1.0	0.05	10.0	1e-15	3.13224170675894428e+141	5.28313811725251248e-10	5.92875226284612358e+150	1.50772963303418550e+02
0.15	1.0	0.05	20.0	1e-15	3.13224170675894428e+141	5.28313811725251248e-10	5.92875226284612358e+150	1.50772963303418550e+02
0.15	1.0	0.1	5.0	1e-15	3.13224170675894428e+141	5.28313811725251248e-10	5.92875226284612358e+150	1.50772963303418550e+02
0.15	1.0	0.1	10.0	1e-15	3.13224170675894428e+141	5.28313811725251248e-10	5.92875226284612358e+150	1.50772963303418550e+02
0.15	1.0	0.1	20.0	1e-15	3.13224170675894428e+141	5.28313811725251248e-10	5.92875226284612358e+150	1.50772963303418550e+02
0.15	1.0	0.2	5.0	1e-15	3.13224170675894428e+141	5.28313811725251248e-10	5.92875226284612358e+150	1.50772963303418550e+02
0.15	1.0	0.2	10.0	1e-15	3.13224170675894428e+141	5.28313811725251248e-10	5.92875226284612358e+150	1.50772963303418550e+02
0.15	1.0	0.2	20.0	1e-15	3.13224170675894428e+141	5.28313811725251248e-10	5.92875226284612358e+150	1.50772963303418550e+02
0.15	3.0	0.05	5.0	1e-15	3.13224170675894428e+141	5.28313811725251248e-10	5.92875226284612358e+150	1.50772963303418550e+02
0.15	3.0	0.05	10.0	1e-15	3.13224170675894428e+141	5.28313811725251248e-10	5.92875226284612358e+150	1.50772963303418550e+02
0.15	3.0	0.05	20.0	1e-15	3.13224170675894428e+141	5.28313811725251248e-10	5.92875226284612358e+150	1.50772963303418550e+02
0.15	3.0	0.1	5.0	1e-15	3.13224170675894428e+141	5.28313811725251248e-10	5.92875226284612358e+150	1.50772963303418550e+02
0.15	3.0	0.1	10.0	1e-15	3.13224170675894428e+141	5.28313811725251248e-10	5.92875226284612358e+150	1.50772963303418550e+02
0.15	3.0	0.1	20.0	1e-15	3.13224170675894428e+141	5.28313811725251248e-10	5.92875226284612358e+150	1.50772963303418550e+02
0.15	3.0	0.2	5.0	1e-15	3.13224170675894428e+141	5.28313811725251248e-10	5.92875226284612358e+150	1.50772963303418550e+02
0.15	3.0	0.2	10.0	1e-15	3.13224170675894428e+141	5.28313811725251248e-10	5.92875226284612358e+150	1.50772963303418550e+02
0.15	3.0	0.2	20.0	1e-15	3.13224170675894428e+141	5.28313811725251248e-10	5.92875226284612358e+150	1.50772963303418550e+02
0.2	0.3	0.05	5.0	1e-15	2.83685978126441222e+141	5.28313811725251248e-10	5.36964909548818784e+150	1.50729945905648805e+02
0.2	0.3	0.05	10.0	1e-15	2.83685978126441222e+141	5.28313811725251248e-10	5.36964909548818784e+150	1.50729945905648805e+02
0.2	0.3	0.05	20.0	1e-15	2.83685978126441222e+141	5.28313811725251248e-10	5.36964909548818784e+150	1.50729945905648805e+02
0.2	0.3	0.1	5.0	1e-15	2.83685978126441222e+141	5.28313811725251248e-10	5.36964909548818784e+150	1.50729945905648805e+02
0.2	0.3	0.1	10.0	1e-15	2.83685978126441222e+141	5.28313811725251248e-10	5.36964909548818784e+150	1.50729945905648805e+02
0.2	0.3	0.1	20.0	1e-15	2.83685978126441222e+141	5.28313811725251248e-10	5.36964909548818784e+150	1.50729945905648805e+02
0.2	0.3	0.2	5.0	1e-15	2.83685978126441222e+141	5.28313811725251248e-10	5.36964909548818784e+150	1.50729945905648805e+02
0.2	0.3	0.2	10.0	1e-15	2.83685978126441222e+141	5.28313811725251248e-10	5.36964909548818784e+150	1.50729945905648805e+02
0.2	0.3	0.2	20.0	1e-15	2.83685978126441222e+141	5.28313811725251248e-10	5.36964909548818784e+150	1.50729945905648805e+02
0.2	1.0	0.05	5.0	1e-15	2.83685978126441222e+141	5.28313811725251248e-10	5.36964909548818784e+150	1.50729945905648805e+02
0.2	1.0	0.05	10.0	1e-15	2.83685978126441222e+141	5.28313811725251248e-10	5.36964909548818784e+150	1.50729945905648805e+02
0.2	1.0	0.05	20.0	1e-15	2.83685978126441222e+141	5.28313811725251248e-10	5.36964909548818784e+150	1.50729945905648805e+02
0.2	1.0	0.1	5.0	1e-15	2.83685978126441222e+141	5.28313811725251248e-10	5.36964909548818784e+150	1.50729945905648805e+02
0.2	1.0	0.1	10.0	1e-15	2.83685978126441222e+141	5.28313811725251248e-10	5.36964909548818784e+150	1.50729945905648805e+02
